epoch,phase,accuracy,loss,precision,recall,f1,tn,fp,fn,tp
101,train,63.125,0.56130066243085,0.6301369863013698,0.5897435897435898,0.609271523178808,55,27,32,46
102,train,65.625,0.5703573985533281,0.6621621621621622,0.620253164556962,0.6405228758169934,56,25,30,49
102,val,66.25,0.5719604383815419,0.7619047619047619,0.6530612244897959,0.7032967032967034,42,20,34,64
103,train,65.0,0.5885065035386519,0.6571428571428571,0.5897435897435898,0.6216216216216216,58,24,32,46
104,train,64.375,0.573365330696106,0.6617647058823529,0.569620253164557,0.6122448979591837,58,23,34,45
104,val,66.25,0.56906151229685,0.7619047619047619,0.6530612244897959,0.7032967032967034,42,20,34,64
105,train,69.375,0.5439634675329382,0.6911764705882353,0.6266666666666667,0.6573426573426573,64,21,28,47
106,train,62.5,0.6044257229024713,0.6027397260273972,0.5866666666666667,0.5945945945945946,56,29,31,44
106,val,66.25,0.5682866248217496,0.7619047619047619,0.6530612244897959,0.7032967032967034,42,20,34,64
107,train,67.5,0.5570943247188221,0.7384615384615385,0.5783132530120482,0.6486486486486487,60,17,35,48
108,train,67.5,0.5477719550782983,0.6666666666666666,0.6666666666666666,0.6666666666666666,56,26,26,52
108,val,66.25,0.5706169876185331,0.7682926829268293,0.6428571428571429,0.7,43,19,35,63
109,train,69.375,0.5620183836330067,0.7466666666666667,0.6511627906976745,0.6956521739130435,55,19,30,56
110,train,60.0,0.6137591221115806,0.5384615384615384,0.5072463768115942,0.5223880597014925,61,30,34,35
110,val,66.875,0.5725800340825861,0.7777777777777778,0.6428571428571429,0.7039106145251397,44,18,35,63
110,test,61.875,0.6041833433237943,0.75,0.594059405940594,0.6629834254143646,39,20,41,60
111,train,65.0,0.5556172565980391,0.68,0.6144578313253012,0.6455696202531646,53,24,32,51
112,train,64.375,0.601595168763941,0.6438356164383562,0.6025641025641025,0.6225165562913907,56,26,31,47
112,val,66.875,0.5694053552367471,0.7777777777777778,0.6428571428571429,0.7039106145251397,44,18,35,63
113,train,68.125,0.5354956957426938,0.6973684210526315,0.654320987654321,0.6751592356687898,56,23,28,53
114,train,67.5,0.5724470290270719,0.7560975609756098,0.6595744680851063,0.7045454545454546,46,20,32,62
114,val,66.875,0.5729917179454457,0.7777777777777778,0.6428571428571429,0.7039106145251397,44,18,35,63
115,train,62.5,0.5698540102351796,0.7023809523809523,0.6276595744680851,0.6629213483146067,41,25,35,59
116,train,63.125,0.583238276568326,0.6428571428571429,0.6506024096385542,0.6467065868263473,47,30,29,54
116,val,67.5,0.5731934254819696,0.7875,0.6428571428571429,0.7078651685393258,45,17,35,63
